id,name,sort
1,Kinh,
2,Tày,
3,Thái,
4,Mường,
5,Khơ me,
6,H’ mông,
7,Nùng,
8,Hoa,
9,Dao,
10,Gia rai,
11,Ê đê,
12,Ba na,
13,Xơ đăng,
14,Sán chay,
15,Cờ ho,
16,Chăm,
17,Sán rìu,
18,H’ rê,
19,Ra giai,
20,M’ nông,
21,X tiêng,
22,Bru Vân Kiều,
23,THổ,
24,Khơ mú,
25,Cơ tu,
26,Giáy,
27,Giẻ chiêng,
28,Tà ôi,
29,Mạ,
30,Co ,
31,Chơ ro,
32,Xinh mun,
33,Hà nhì,
34,Chu ru,
35,Lào,
36,Kháng,
37,La chí,
38,Phú lá,
39,La hủ,
40,La ha,
41,Pà thén,
42,Chứt,
43,Lự,
44,Lô lô,
45,Mảng,
46,Cờ lao,
47,Bố y,
48,Cống,
49,Ngái,
50,Si la,
51,Pu péo,
52,Rơ măm,
53,Bờ râu,
54,Ơ đu,